# eps=0 u'(0)=0
0 1
0.01 1
0.03 1
0.07 1
0.15 1
0.31 1
0.51 1
0.71 1
0.91 1
1.11 1
1.31 1
1.51 1
1.71 1
1.91 1
2.11 1
2.31 1
2.51 1
2.71 1
2.91 1
3.11 1
3.31 1
3.51 1
3.71 1
3.91 1
4.11 1
4.31 1
4.51 1
4.71 1
4.91 1
5.11 1
5.31 1
5.51 1
5.71 1
5.91 1
6.11 1
6.31 1
6.51 1
6.71 1
6.91 1
7.11 1
7.31 1
7.51 1
7.71 1
7.91 1
8.11 1
8.31 1
8.51 1
8.71 1
8.91 1
9.11 1
9.31 1
9.51 1
9.71 1
9.91 1
10.11 1
10.31 1
10.51 1
10.71 1
10.91 1
11.11 1
11.31 1
11.51 1
11.71 1
11.91 1
12.11 1
12.31 1
12.51 1
12.71 1
12.91 1
13.11 1
13.31 1
13.51 1
13.71 1
13.91 1
14.11 1
14.31 1
14.51 1
14.71 1
14.91 1
15.11 1
15.31 1
15.51 1
15.71 1
15.91 1
16.11 1
16.31 1
16.51 1
16.71 1
16.91 1
17.11 1
17.31 1
17.51 1
17.71 1
17.91 1
18.11 1
18.31 1
18.51 1
18.71 1
18.91 1
19.11 1
19.31 1
19.51 1
19.71 1
19.91 1
20.11 1
20.31 1
20.51 1
20.71 1
20.91 1
21.11 1
21.31 1
21.51 1
21.71 1
21.91 1
22.11 1
22.31 1
22.51 1
22.71 1
22.91 1
23.11 1
23.31 1
23.51 1
23.71 1
23.91 1
24.11 1
24.31 1
24.51 1
24.71 1
24.91 1
25.11 1
25.1327 1


# eps=0 u'(0)=-0.5
0 1
0.000638755 0.999681
0.00125253 0.999374
0.00185118 0.999074
0.00244054 0.99878
0.00302415 0.998488
0.00360418 0.998198
0.00418196 0.997909
0.00475833 0.997621
0.0053338 0.997333
0.00590868 0.997046
0.00648319 0.996758
0.00705744 0.996471
0.00763151 0.996184
0.00820546 0.995897
0.00877931 0.99561
0.00935308 0.995324
0.00992679 0.995037
0.0105004 0.99475
0.011074 0.994463
0.0116476 0.994176
0.0122211 0.99389
0.0127945 0.993603
0.0133679 0.993316
0.0139412 0.99303
0.0145145 0.992743
0.0150878 0.992456
0.015661 0.99217
0.0162342 0.991883
0.0168073 0.991597
0.0173803 0.99131
0.0179534 0.991024
0.0185263 0.990737
0.0190993 0.990451
0.0196721 0.990165
0.020245 0.989878
0.0208178 0.989592
0.0213905 0.989306
0.0219632 0.989019
0.0225358 0.988733
0.0231084 0.988447
0.023681 0.988161
0.0242535 0.987874
0.0248259 0.987588
0.0253984 0.987302
0.0259707 0.987016
0.026543 0.98673
0.0271153 0.986444
0.0276875 0.986158
0.0282597 0.985872
0.0288318 0.985586
0.0294039 0.9853
0.029976 0.985014
0.0305479 0.984728
0.0311199 0.984443
0.0316918 0.984157
0.0322636 0.983871
0.0328354 0.983585
0.0334072 0.9833
0.0339789 0.983014
0.0345506 0.982728
0.0351222 0.982443
0.0356937 0.982157
0.0362653 0.981871
0.0368367 0.981586
0.0374082 0.9813
0.0379795 0.981015
0.0385509 0.980729
0.0391222 0.980444
0.0396934 0.980159
0.0402646 0.979873
0.0408357 0.979588
0.0414068 0.979302
0.0419779 0.979017
0.0425489 0.978732
0.0431198 0.978447
0.0436908 0.978162
0.0442616 0.977876
0.0448324 0.977591
0.0454032 0.977306
0.0459739 0.977021
0.0465446 0.976736
0.0471152 0.976451
0.0476858 0.976166
0.0482563 0.975881
0.0488268 0.975596
0.0493973 0.975311
0.0499677 0.975027
0.050538 0.974742
0.0511083 0.974457
0.0516785 0.974172
0.0522487 0.973888
0.0528189 0.973603
0.053389 0.973318
0.0539591 0.973034
0.0545291 0.972749
0.0550991 0.972464
0.055669 0.97218
0.0562388 0.971895
0.0568087 0.971611
0.0573784 0.971327
0.0579482 0.971042
0.0585179 0.970758
0.0590875 0.970473
0.0596571 0.970189
0.0602266 0.969905
0.0607961 0.969621
0.0613656 0.969336
0.061935 0.969052
0.0625043 0.968768
0.0630736 0.968484
0.0636429 0.9682
0.0642121 0.967916
0.0647813 0.967632
0.0653504 0.967348
0.0659194 0.967064
0.0664885 0.96678
0.0670574 0.966496
0.0676264 0.966213
0.0681952 0.965929
0.0687641 0.965645
0.0693329 0.965361
0.0699016 0.965078
0.0704703 0.964794
0.0710389 0.96451
0.0716075 0.964227
0.0721761 0.963943
0.0727446 0.96366
0.073313 0.963376
0.0738814 0.963093
0.0744498 0.962809
0.0750181 0.962526
0.0755863 0.962243
0.0761546 0.96196
0.0767227 0.961676
0.0772908 0.961393
0.0778589 0.96111
0.0784269 0.960827
0.0789949 0.960544
0.0795628 0.960261
0.0801307 0.959977
0.0806986 0.959694
0.0812663 0.959412
0.0818341 0.959129
0.0824018 0.958846
0.0829694 0.958563
0.083537 0.95828
0.0841046 0.957997
0.0846721 0.957715
0.0852395 0.957432
0.0858069 0.957149
0.0863743 0.956867
0.0869416 0.956584
0.0875089 0.956301
0.0880761 0.956019
0.0886432 0.955736
0.0892104 0.955454
0.0897774 0.955172
0.0903445 0.954889
